example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""waiting for her"">I am <marker>waiting after her</marker>.</example>",I am waiting after her.,group,64,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""in a hospital bed"">The patient is <marker>on a hospital bed</marker> waiting for surgery.</example>",The patient is on a hospital bed waiting for surgery.,group,65,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""lives off"">He <marker>lives from</marker> his brother’s money.</example>",He lives from his brother’s money.,group,66,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""anxious about"">They are <marker>anxious for</marker> his health.</example>",They are anxious for his health.,group,67,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""were in shock"">We <marker>were on shock</marker> when it happen..</example>",We were on shock when it happen..,group,68,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""far from"">It is not very <marker>far of</marker> my job.</example>",It is not very far of my job.,group,69,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""near to"">It is not very <marker>near from</marker> my job.</example>",It is not very near from my job.,group,70,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""blind from the fury""><marker>blind for the fury</marker>.</example>",blind for the fury.,group,71,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""yelled at him"">Lily <marker>yelled on him</marker>.</example>",Lily yelled on him.,group,72,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""takes into consideration"">Tom <marker>takes into consideration of</marker> all the perspectives.</example>",Tom takes into consideration of all the perspectives.,group,73,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""From the psychological perspective""><marker>In the psychological perspective</marker>.</example>",In the psychological perspective.,group,74,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""sits on the bench"">He is 67 year old and he <marker>sits on the court</marker> since 1998..</example>",He is 67 year old and he sits on the court since 1998..,group,75,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""take their courses"">There is classes were students can <marker>follow their courses</marker>.</example>",There is classes were students can follow their courses.,group,76,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""in the afternoon"">The meeting is <marker>on the afternoon</marker>.</example>",The meeting is on the afternoon.,group,77,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""accused the man of"">She <marker>accused the man for</marker> stealing.</example>",She accused the man for stealing.,group,78,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""is on a secret mission"">Bond <marker>is in a secret mission</marker>.</example>",Bond is in a secret mission.,group,79,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""laughed at him"">I <marker>laughed of him</marker>.</example>",I laughed of him.,group,80,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Bring Suzanne to""><marker>Bring Suzanne at</marker> the party.</example>",Bring Suzanne at the party.,group,81,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""In fact""><marker>On fact</marker>, the people are fed up of so many elections.</example>","On fact, the people are fed up of so many elections.",group,82,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""put on the agenda"">We must <marker>bring to the agenda</marker> the people that are fed up of so many elections.</example>",We must bring to the agenda the people that are fed up of so many elections.,group,83,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""In front of""><marker>In front to</marker> so many decisions, the people are fed up.</example>","In front to so many decisions, the people are fed up.",group,84,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""departure from"">The stay is finally ended and they prepared their <marker>departure of</marker> New York.</example>",The stay is finally ended and they prepared their departure of New York.,group,85,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""live on the planet"">Not all creatures that <marker>live in the planet</marker> Earth use oxygen.</example>",Not all creatures that live in the planet Earth use oxygen.,group,86,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""countless occurrences"">There are <marker>countless of occurrences</marker>.</example>",There are countless of occurrences.,group,87,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""fed up with"">The people are <marker>fed up of</marker> so many pointless elections.</example>",The people are fed up of so many pointless elections.,group,88,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""entering the room"">While he was <marker>entering in the room</marker>, he felt an uncomfortable feeling on his spine.</example>","While he was entering in the room, he felt an uncomfortable feeling on his spine.",group,89,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""went home"">Suzie <marker>went to home</marker>.</example>",Suzie went to home.,group,90,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Judy came into the house""><marker>Judy came in the house</marker> after greeting her elders.</example>",Judy came in the house after greeting her elders.,group,91,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""arrived at"">When John <marker>arrived on</marker> the beach, he went for a swim.</example>","When John arrived on the beach, he went for a swim.",group,92,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Return home""><marker>Return at home</marker> before midnight.</example>",Return at home before midnight.,group,93,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""under pressure"">Kelly is <marker>in pressure</marker>.</example>",Kelly is in pressure.,group,94,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""absorbed in|absorbed with|absorbed into"">I am <marker>absorbed at</marker> this book.</example>",I am absorbed at this book.,group,95,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""accused of"">He is <marker>accused for</marker> fraud.</example>",He is accused for fraud.,group,96,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""ashamed of"">After flunking in the exam, she felt <marker>ashamed from</marker> it.</example>","After flunking in the exam, she felt ashamed from it.",group,97,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""arrive in"">They will <marker>arrive at</marker> the city at 9:00 am.</example>",They will arrive at the city at 9:00 am.,group,98,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""angry about the situation"">Barbie is <marker>angry with the situation</marker>.</example>",Barbie is angry with the situation.,group,99,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""accustomed to"">The mechanic is <marker>accustomed with</marker> handling those situations.</example>",The mechanic is accustomed with handling those situations.,group,100,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""afraid of"">Rats are <marker>afraid from</marker> cats.</example>",Rats are afraid from cats.,group,101,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""angry with|angry at"">Birds fly when they are <marker>angry against</marker> pigs.</example>",Birds fly when they are angry against pigs.,group,102,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""aimed at"">This tool is <marker>aimed on</marker> regular users.</example>",This tool is aimed on regular users.,group,103,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""believe in"">'cause I <marker>believe to</marker> fitness.</example>",'cause I believe to fitness.,group,104,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""boasted of|boasted about"">He <marker>boasted for</marker> his skills.</example>",He boasted for his skills.,group,105,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""careful with"">Be <marker>careful for</marker> the camera.</example>",Be careful for the camera.,group,106,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""travel by bus"">We are going to <marker>travel with a bus</marker>.</example>",We are going to travel with a bus.,group,107,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""complained about"">The client <marker>complained for</marker> the service.</example>",The client complained for the service.,group,108,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""composed of"">It is <marker>composed from</marker> carbohydrates and proteins.</example>",It is composed from carbohydrates and proteins.,group,109,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""cure you of"">This medicin will <marker>cure you from</marker> the disease.</example>",This medicin will cure you from the disease.,group,110,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""deprived of"">This soil is <marker>deprived from</marker> nutrients.</example>",This soil is deprived from nutrients.,group,111,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""dying of"">The ferns are <marker>dying from</marker> too much watering.</example>",The ferns are dying from too much watering.,group,112,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""disappointed with|disappointed in|disappointed by|disappointed at|disappointed about"">She was <marker>disappointed from</marker> the surprise.</example>",She was disappointed from the surprise.,group,113,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Divide the pizza into""><marker>Divide the pizza in</marker> four.</example>",Divide the pizza in four.,group,114,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""doubt in|doubt about"">I <marker>doubt for</marker> that.</example>",I doubt for that.,group,115,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Jane dresses in""><marker>Jane dresses with</marker> a coverall.</example>",Jane dresses with a coverall.,group,116,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""full of"">The washing machine is <marker>full with</marker> dishes.</example>",The washing machine is full with dishes.,group,117,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""rid of"">He got <marker>rid from</marker> the clutter.</example>",He got rid from the clutter.,group,118,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""glad about"">He's <marker>glad with</marker> it.</example>",He's glad with it.,group,119,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""guards against"">The dog <marker>guards from</marker> the thieves.</example>",The dog guards from the thieves.,group,120,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""guilty of"">Mark is <marker>guilty for</marker> lazyness.</example>",Mark is guilty for lazyness.,group,121,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Independently of""><marker>Independently from</marker> our relationship, you are not the best, nor most the brightest.</example>","Independently from our relationship, you are not the best, nor most the brightest.",group,122,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""insisted on attending"">She <marker>insisted to attend</marker> the conference.</example>",She insisted to attend the conference.,group,123,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""interest in"">I have an <marker>interest for</marker> the sea.</example>",I have an interest for the sea.,group,124,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""jealous of"">Jane might be <marker>jealous from</marker> my car.</example>",Jane might be jealous from my car.,group,125,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""photo of his cat"">This is a <marker>photo with his cat</marker>.</example>",This is a photo with his cat.,group,126,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""At this moment""><marker>In this moment</marker> she woke up.</example>",In this moment she woke up.,group,127,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""tired of|tired from""><marker>tired about</marker>.</example>",tired about.,group,128,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""advertisement for"">Nice <marker>advertisement of</marker> your company.</example>",Nice advertisement of your company.,group,129,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""stop us from achieving"">This <marker>stops us of achieving</marker> victory.</example>",This stops us of achieving victory.,group,130,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""on the album"">Listen to that <marker>in the album</marker>.</example>",Listen to that in the album.,group,131,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""cure for"">Researcher have found the <marker>cure against</marker> that type of cancer.</example>",Researcher have found the cure against that type of cancer.,group,132,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""to find a cure"">It took a while <marker>to found a cure</marker> for malaria.</example>",It took a while to found a cure for malaria.,group,133,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""desires for the business"">Even though some businessmen prefer unusual approaches to boost up their business identification, they get interested to identify the best approach to realize their <marker>desires on the business</marker> development.</example>","Even though some businessmen prefer unusual approaches to boost up their business identification, they get interested to identify the best approach to realize their desires on the business development.",group,134,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""brought them to the airport"">Friday came fast and the couple quitted their sweet house for took the bus who will <marker>brought them in the airport</marker>.</example>",Friday came fast and the couple quitted their sweet house for took the bus who will brought them in the airport.,group,135,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""curator of the exposition"">The man to whom you were speaking to was the <marker>curator on the exposition</marker>.</example>",The man to whom you were speaking to was the curator on the exposition.,group,136,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""closer to|further from"">I moved in July to be <marker>closer from school</marker>.</example>",I moved in July to be closer from school.,group,137,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Mine car|The car""><marker>The mine car</marker> is on the maintenance services.</example>",The mine car is on the maintenance services.,group,138,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""He enrolled in|He enrolled for""><marker>He enrolled at</marker> the college.</example>",He enrolled at the college.,group,139,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""steps to take"">There are some <marker>steps to do</marker>.</example>",There are some steps to do.,group,140,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""going on vacation"">She is <marker>going to vacation</marker>.</example>",She is going to vacation.,group,141,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""on Wikipedia"">Check it <marker>in Wikipedia</marker>.</example>",Check it in Wikipedia.,group,142,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""written on page"">That is <marker>written in page</marker> 21.</example>",That is written in page 21.,group,143,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""I came by plane""><marker>I came to plane</marker>.</example>",I came to plane.,group,144,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""The company that I work for is""><marker>The company that I work is</marker> Cosme Inc...</example>",The company that I work is Cosme Inc...,group,145,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""waiting for her patient"">Anne is <marker>waiting her patient</marker>.</example>",Anne is waiting her patient.,group,146,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""I traveled for four days""><marker>I traveled four days</marker>.</example>",I traveled four days.,group,147,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""Respectful toward""><marker>Respectful against</marker>.</example>",Respectful against.,group,148,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""disappointed with|disappointed at|disappointed by"">We could be <marker>disappointed of</marker> this announcement.</example>",We could be disappointed of this announcement.,group,149,COLLOCATIONS,Collocations,grammar,COLLOCATION_ERRORS_BOKOMARU,Common collocation errors,
"<example correction=""returning to"">While we were <marker>returning in</marker> the office, I have been arrested for speeding.</example>","While we were returning in the office, I have been arrested for speeding.",group,0,COLLOCATIONS,Collocations,grammar,RETURN_IN_THE,return in/to,
"<example correction=""returning to"">While we were <marker>returning in</marker> Montreal, I have been arrested for speeding.</example>","While we were returning in Montreal, I have been arrested for speeding.",group,1,COLLOCATIONS,Collocations,grammar,RETURN_IN_THE,return in/to,
,,group,0,COLLOCATIONS,Collocations,grammar,DO_A_PARTY,Collocation: do/throw/have a party,
,,group,1,COLLOCATIONS,Collocations,grammar,DO_A_PARTY,Collocation: do/throw/have a party,
"<example correction=""to throw a party|to have a party"">A new roommate has moved in, so we decided <marker>to do a party</marker> with all of us..</example>","A new roommate has moved in, so we decided to do a party with all of us..",group,2,COLLOCATIONS,Collocations,grammar,DO_A_PARTY,Collocation: do/throw/have a party,
"<example correction=""like throwing a party|like partying"">I <marker>like making a party</marker>.</example>",I like making a party.,group,3,COLLOCATIONS,Collocations,grammar,DO_A_PARTY,Collocation: do/throw/have a party,
,,group,0,COLLOCATIONS,Collocations,grammar,IN_CHARGE_FOR,Collocation: in charge for/of/with,
,,group,1,COLLOCATIONS,Collocations,grammar,IN_CHARGE_FOR,Collocation: in charge for/of/with,
"<example correction=""in charge of"">Who is <marker>in charge for</marker> this shop?</example>",Who is in charge for this shop?,group,2,COLLOCATIONS,Collocations,grammar,IN_CHARGE_FOR,Collocation: in charge for/of/with,
"<example correction=""charge with""><marker>charge for</marker>.</example>",charge for.,group,3,COLLOCATIONS,Collocations,grammar,IN_CHARGE_FOR,Collocation: in charge for/of/with,
,,group,0,COLLOCATIONS,Collocations,grammar,DURING_OVER_THE_WEEKENDS,Collocation: during/over the weekends,
,,group,1,COLLOCATIONS,Collocations,grammar,DURING_OVER_THE_WEEKENDS,Collocation: during/over the weekends,
"<example correction=""on the weekend|at the weekend"">During the week, I go to school and I work in a pet shop <marker>during the weekend</marker>.</example>","During the week, I go to school and I work in a pet shop during the weekend.",group,2,COLLOCATIONS,Collocations,grammar,DURING_OVER_THE_WEEKENDS,Collocation: during/over the weekends,
"<example correction=""on the weekend|at the weekend"">During the week, I go to school and I work in a pet shop <marker>during the week end</marker>.</example>","During the week, I go to school and I work in a pet shop during the week end.",group,3,COLLOCATIONS,Collocations,grammar,DURING_OVER_THE_WEEKENDS,Collocation: during/over the weekends,
"<example correction=""on weekends|at the weekend"">I only speak English on weekends because <marker>during weekends</marker> I work and some clients that only speak in English.</example>",I only speak English on weekends because during weekends I work and some clients that only speak in English.,group,4,COLLOCATIONS,Collocations,grammar,DURING_OVER_THE_WEEKENDS,Collocation: during/over the weekends,
,,group,0,COLLOCATIONS,Collocations,grammar,A_TRIP_TO,Collocation: a trip to,
,,group,1,COLLOCATIONS,Collocations,grammar,A_TRIP_TO,Collocation: a trip to,
"<example correction=""a trip to"">John and Jenny week decided to go on <marker>a trip in</marker> New York.</example>",John and Jenny week decided to go on a trip in New York.,group,2,COLLOCATIONS,Collocations,grammar,A_TRIP_TO,Collocation: a trip to,
"<example correction=""a trip to"">John and Jenny week decided to go on <marker>a trip in</marker> York.</example>",John and Jenny week decided to go on a trip in York.,group,3,COLLOCATIONS,Collocations,grammar,A_TRIP_TO,Collocation: a trip to,
"<example correction=""a trip to"">John and Jenny week decided to go on <marker>a trip in</marker> New-York.</example>",John and Jenny week decided to go on a trip in New-York.,group,4,COLLOCATIONS,Collocations,grammar,A_TRIP_TO,Collocation: a trip to,
,,group,0,COLLOCATIONS,Collocations,grammar,LISTEN_TO_MOVIES,Collocation: listen to/watch movies,
,,group,1,COLLOCATIONS,Collocations,grammar,LISTEN_TO_MOVIES,Collocation: listen to/watch movies,
"<example correction=""watch movies"">During my free time, I like <marker>listen to movies</marker> in cinema with my boyfriend and my friends.</example>","During my free time, I like listen to movies in cinema with my boyfriend and my friends.",group,2,COLLOCATIONS,Collocations,grammar,LISTEN_TO_MOVIES,Collocation: listen to/watch movies,
"<example correction=""watch a movie"">During my free time, I like <marker>listen to movie</marker> with my boyfriend and my friends.</example>","During my free time, I like listen to movie with my boyfriend and my friends.",group,3,COLLOCATIONS,Collocations,grammar,LISTEN_TO_MOVIES,Collocation: listen to/watch movies,
"<example correction=""watch an action movie"">During the week, I <marker>listen to action movie</marker> in English because I want to improve myself with my sister.</example>","During the week, I listen to action movie in English because I want to improve myself with my sister.",group,4,COLLOCATIONS,Collocations,grammar,LISTEN_TO_MOVIES,Collocation: listen to/watch movies,
,,group,0,COLLOCATIONS,Collocations,grammar,IN_ON_THE_TEAM,Collocation: in/on the team,
,,group,1,COLLOCATIONS,Collocations,grammar,IN_ON_THE_TEAM,Collocation: in/on the team,
"<example correction=""on the men's team""><marker>in the men's team</marker>.</example>",in the men's team.,group,2,COLLOCATIONS,Collocations,grammar,IN_ON_THE_TEAM,Collocation: in/on the team,
"<example correction=""on the men's basketball team""><marker>in the men's basketball team</marker>.</example>",in the men's basketball team.,group,3,COLLOCATIONS,Collocations,grammar,IN_ON_THE_TEAM,Collocation: in/on the team,
"<example correction=""on the men's basket ball team""><marker>in the men's basket ball team</marker>.</example>",in the men's basket ball team.,group,4,COLLOCATIONS,Collocations,grammar,IN_ON_THE_TEAM,Collocation: in/on the team,
,,group,0,COLLOCATIONS,Collocations,grammar,ARRIVAL_TO_THE_HOUSE,Collocation: arrival to/in the house,
,,group,1,COLLOCATIONS,Collocations,grammar,ARRIVAL_TO_THE_HOUSE,Collocation: arrival to/in the house,
"<example correction=""arrival in the city"">Their <marker>arrival to the city</marker> will be at one o'clock.</example>",Their arrival to the city will be at one o'clock.,group,2,COLLOCATIONS,Collocations,grammar,ARRIVAL_TO_THE_HOUSE,Collocation: arrival to/in the house,
"<example correction=""arrival at the house"">At that time, their <marker>arrival to the house</marker> was a surprise.</example>","At that time, their arrival to the house was a surprise.",group,3,COLLOCATIONS,Collocations,grammar,ARRIVAL_TO_THE_HOUSE,Collocation: arrival to/in the house,
,,group,0,COLLOCATIONS,Collocations,grammar,COME_IN_CAR,Collocation: come in/by car,
,,group,1,COLLOCATIONS,Collocations,grammar,COME_IN_CAR,Collocation: come in/by car,
"<example correction=""comes by car"">She <marker>comes in car</marker>.</example>",She comes in car.,group,2,COLLOCATIONS,Collocations,grammar,COME_IN_CAR,Collocation: come in/by car,
"<example correction=""comes to work by car"">She <marker>comes to work in car</marker>.</example>",She comes to work in car.,group,3,COLLOCATIONS,Collocations,grammar,COME_IN_CAR,Collocation: come in/by car,
,,group,0,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
,,group,1,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at world geography"">I'm <marker>good in world geography</marker>.</example>",I'm good in world geography.,group,2,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at social studies"">I'm <marker>good in social studies</marker>.</example>",I'm good in social studies.,group,3,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at physical education"">I'm <marker>good in physical education</marker>.</example>",I'm good in physical education.,group,4,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at language arts"">I'm <marker>good in language arts</marker>.</example>",I'm good in language arts.,group,5,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at home economics"">I'm <marker>good in home economics</marker>.</example>",I'm good in home economics.,group,6,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at computer science"">I'm <marker>good in computer science</marker>.</example>",I'm good in computer science.,group,7,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at math"">I'm <marker>good in math</marker>. I was good in running errands.</example>",I'm good in math. I was good in running errands.,group,8,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
"<example correction=""good at swimming"">He is <marker>good in swimming</marker>.</example>",He is good in swimming.,group,9,COLLOCATIONS,Collocations,grammar,GOOD_IN_AT,Collocation: Good in/at,
,,group,0,COLLOCATIONS,Collocations,grammar,EXCEPTION_OF_TO,Collocation: exception to/of,
,,group,1,COLLOCATIONS,Collocations,grammar,EXCEPTION_OF_TO,Collocation: exception to/of,
"<example correction=""exception to"">This is an <marker>exception of</marker> the guidelines.</example>",This is an exception of the guidelines.,group,2,COLLOCATIONS,Collocations,grammar,EXCEPTION_OF_TO,Collocation: exception to/of,
"<example correction=""make an exception for"">I'll <marker>make an exception to</marker> you.</example>",I'll make an exception to you.,group,3,COLLOCATIONS,Collocations,grammar,EXCEPTION_OF_TO,Collocation: exception to/of,
"<example correction=""Please, Tom""><marker>Please Tom</marker>, let us go.</example>","Please Tom, let us go.",group,0,PUNCTUATION,Punctuation Errors,typographical,MISSING_COMMA_WITH_NNP,Missing vocative comma,
"<example correction=""Thank you, Tom""><marker>Thank you Tom</marker>, for helping us.</example>","Thank you Tom, for helping us.",group,1,PUNCTUATION,Punctuation Errors,typographical,MISSING_COMMA_WITH_NNP,Missing vocative comma,
"<example correction=""Tom, thank""><marker>Tom thank</marker> you!</example>",Tom thank you!,group,2,PUNCTUATION,Punctuation Errors,typographical,MISSING_COMMA_WITH_NNP,Missing vocative comma,
